age,sex,p2,p9,p25,p50,p75,p85,p91,p95,p98
5,1,12,13.1,14.2,15.6,17.4,18.6,19.8,21.4,23.6
6,1,12,13.3,14.5,16,18,19.5,20.9,22.7,25.3
7,1,13,13.6,14.9,16.5,18.8,20.4,22,24.1,27.2
8,1,12.7,13.8,15.2,17,19.5,21.3,23.1,25.5,29.1
9,1,12.8,14,15.5,17.5,21.2,22.2,24.2,26.8,31
10,1,12.8,14.1,15.7,17.8,20.7,22.8,25,27.9,32.4
11,1,12.6,13.9,15.4,17.7,20.8,23,25.3,28.3,32.9
12,1,12.1,13.4,15.1,17.4,20.4,22.7,25,27.9,32.2
13,1,11.5,12.8,14.5,16.8,19.8,22,24.2,27,31
14,1,10.9,12.3,14,16.2,19.2,21.3,23.3,25.9,29.5
15,1,10.4,11.8,13.6,15.8,18.7,20.7,22.6,25,28.2
16,1,10.1,11.5,13.3,15.5,18.4,20.3,22.1,24.3,27.2
17,1,9.8,11.3,13.1,15.4,18.3,20.1,21.8,23.9,26.5
18,1,9.6,11.2,13.1,15.4,18.3,20.1,21.7,23.6,25.9
5,2,13.8,15,16.4,18,20.1,21.5,22.8,24.3,26.3
6,2,14.4,15.7,17.2,19.1,21.5,23,24.5,26.2,28.4
7,2,14.9,16.3,18.1,20.2,22.8,24.5,26.1,28,30.5
8,2,15.3,16.9,18.9,21.2,24.1,26,27.7,29.7,32.4
9,2,15.7,17.5,19.6,22.1,25.2,27.2,29,31.2,33.9
10,2,16,17.9,20.1,22.8,26,28.2,30.1,32.2,35
11,2,16.1,18.1,20.4,23.3,26.6,28.8,30.7,32.8,35.6
12,2,16.1,18.2,20.7,23.5,27,29.1,31,33.1,35.8
13,2,16.1,18.3,20.8,23.8,27.2,29.4,31.2,33.3,25.9
14,2,16,18.3,20.9,24,27.5,29.6,31.5,33.6,36.1
15,2,15.7,18.2,21,24.1,27.7,29.9,31.7,33.8,36.3
16,2,15.5,18.1,21,24.3,27.9,30.1,32,34.1,36.5
17,2,15.1,17.9,21,24.4,28.2,30.4,32.3,34.4,36.8
18,2,14.7,17.7,21,24.6,28.5,30.8,32.7,34.8,37.2
